Key,Description,en,ja
fa26-opDesertCobra:mission7_name,Name of a mission.,Striking Oil,油田への攻撃
fa26-opDesertCobra:mission7_description,Description of a mission.,The carrier group's next target is one of the enemy's main sources of oil.,"空母の次のターゲットは、
敵の主要な石油源の一つである"
F/A-26B:fa26-opDesertCobra:mission7:obj_0:name,A mission objective name,Launch,発進
F/A-26B:fa26-opDesertCobra:mission7:obj_0:info,Mission objective info.,Take off and orbit waypoint.,発進してウェイポイントを周回してください。
F/A-26B:fa26-opDesertCobra:mission7:obj_1:name,A mission objective name,Attack Oil Rigs,油田施設攻撃
F/A-26B:fa26-opDesertCobra:mission7:obj_1:info,Mission objective info.,Destroy the four oil rigs.,４箇所の油田施設を破壊してください。
F/A-26B:fa26-opDesertCobra:mission7:obj_3:name,A mission objective name,Pending,保留
F/A-26B:fa26-opDesertCobra:mission7:obj_3:info,Mission objective info.,Fly to objective waypoint and await further instructions.,目的地のウェイポイントまで飛んで、さらなる指示を待ってください。
F/A-26B:fa26-opDesertCobra:mission7:obj_4:name,A mission objective name,VIP Target,重要ターゲット
F/A-26B:fa26-opDesertCobra:mission7:obj_4:info,Mission objective info.,Find and destroy the high priority target.,優先度の高いターゲットを見つけて破壊してください。
F/A-26B:fa26-opDesertCobra:mission7:obj_5:name,A mission objective name,RTB,
F/A-26B:fa26-opDesertCobra:mission7:obj_5:info,Mission objective info.,Return to the carrier.,空母に戻ってください。
fa26-opDesertCobra:mission8_name,Name of a mission.,Decapitation,斬首作戦
fa26-opDesertCobra:mission8_description,Description of a mission.,End the conflict for good by launching a heavy strike on the command center.,"紛争を決定的に終わらせるために、
敵司令部への猛烈な攻撃を行う"
F/A-26B:fa26-opDesertCobra:mission8:obj_0:name,A mission objective name,Rejoin,再編成
F/A-26B:fa26-opDesertCobra:mission8:obj_0:info,Mission objective info.,Rejoin with the wing leader.,味方攻撃部隊のリーダーと合流してください。
F/A-26B:fa26-opDesertCobra:mission8:obj_1:name,A mission objective name,Follow,フォロー
F/A-26B:fa26-opDesertCobra:mission8:obj_1:info,Mission objective info.,Follow the wing leader and her commands on the way to the AO.,AO（作戦エリア）への道中、味方攻撃機隊のリーダーである彼女の命令に従ってください。
F/A-26B:fa26-opDesertCobra:mission8:obj_2:name,A mission objective name,Strike Supplies,攻撃の消耗
F/A-26B:fa26-opDesertCobra:mission8:obj_2:info,Mission objective info.,Destroy all supply depots in the base.,敵基地内の全ての補給施設を破壊してください。
F/A-26B:fa26-opDesertCobra:mission8:obj_4:name,A mission objective name,Clear Defenses,防衛網を一掃
F/A-26B:fa26-opDesertCobra:mission8:obj_4:info,Mission objective info.,Disable any remaining air defenses around the base.,敵基地周辺に残っている防空施設を無効化してください。
F/A-26B:fa26-opDesertCobra:mission8:obj_5:name,A mission objective name,Protect Transport,輸送の護衛
F/A-26B:fa26-opDesertCobra:mission8:obj_5:info,Mission objective info.,Protect the transport and the team of soldiers it carries.,空母からの兵士チームの輸送を守ってください。
F/A-26B:fa26-opDesertCobra:mission8:obj_6:name,A mission objective name,Take Off,離陸
F/A-26B:fa26-opDesertCobra:mission8:obj_6:info,Mission objective info.,Take off and wait for wingmen.,離陸して僚機の到着を待ってください。
F/A-26B:fa26-opDesertCobra:mission8:obj_7:name,A mission objective name,Destroy Tanks,敵戦車の破壊
F/A-26B:fa26-opDesertCobra:mission8:obj_7:info,Mission objective info.,Destroy tanks threatening the raid team.,味方襲撃部隊を脅かす敵戦車部隊を撃破してください。
F/A-26B:fa26-opDesertCobra:mission8:obj_9:name,A mission objective name,RTB,
F/A-26B:fa26-opDesertCobra:mission8:obj_9:info,Mission objective info.,Return to the carrier.,空母に戻ってください。
fa26-opDesertCobra_mission1_b0,Text from a mission briefing.,"You are stationed at our most remote airbase, closest to the enemy border.

The enemy seeks to destroy the airbase's supplies in order to prevent us from conducting airstrikes in this region.","君は敵の国境に近い最遠方の味方航空基地に駐屯している

敵は航空基地の物資を破壊して、この地域での空爆を阻止しようとしているようだ"
fa26-opDesertCobra_mission1_b1,Text from a mission briefing.,"Intel has revealed that the enemy has launched a multi-pronged effort to attack the airbase.

A small group of hostile self-propelled artillery have mobilized to get into firing range of our supply depots.","諜報によると、敵はこちらの航空基地に対して多面的な攻撃を開始している

敵の自走砲の小集団が我々の補給基地を射程距離に入れようとしている"
fa26-opDesertCobra_mission1_b2,Text from a mission briefing.,"While it will be necessary to destroy the artillery, we believe that the attack is aimed to distract us from a follow-up airstrike.

The type of attackers, their locations, and numbers are unknown at this time.","敵砲撃を破壊する必要があったとはいえ、その後の空爆から目をそらすことが目的だったのではないかと考えられる

攻撃の種類、場所、回数は現時点では不明である"
fa26-opDesertCobra_mission1_b3,Text from a mission briefing.,"An E-4 AWACS will be deployed in order to aid in locating the airborne threats.

Due to our proximity to enemy territory, the AWACS will be vulnerable.  Please defend it if necessary.","上空の驚異を見つけるため E-4 AWACS を派遣した

敵地に近接しているため、AWACSは危険にさらされるであろう。 必要に応じてAWACSを守れ"
fa26-opDesertCobra_mission1_b4,Text from a mission briefing.,"SUMMARY:
Objective:
Defend airbase supply depots.

Known targets:
3x self-propelled artillery

Unknown targets:
Bombers and/or attack aircraft.","摘要
目的：
-味方航空基地の補給基地を守れ

既知のターゲット：
-3x自走砲

不明な目的：
-爆撃機と攻撃機"
fa26-opDesertCobra_mission2_b0,Text from a mission briefing.,"Now's our chance to head back out and return the favor to the enemy.

They occupy two airbases -- one to the northeast, and one further due north.","今度は我々が反撃して敵に仕返しをする番だ

敵は北東と真北に2つの航空基地を保持している"
fa26-opDesertCobra_mission2_b1,Text from a mission briefing.,"You must destroy the 4 supply depots at each base, for a total of 8 targets.

The enemy is most likely expecting us, so they probably beefed up air defenses as well as numerous aircraft on patrol.

Use the cover of darkness and terrain to mask your approach to the targets.","各拠点にある補給物資庫を4つ破壊して合計8つの目標を達成しなければならない

敵は待ち構えている可能性が高いので、防空・対空哨戒を強化してくるであろう

暗闇や地形のカバーを利用して、ターゲットに接近せよ"
fa26-opDesertCobra_mission2_b2,Text from a mission briefing.,"We have gathered intel on the near exact locations of their supplies, which will be set as the objective waypoints.

How you want to attack is up to you.
I recommend to remain radar silent to avoid detection.","補給基地の正確な位置についての情報を得て、ナビゲーションポイントを設置した

どうやって攻撃するかは任せる
探知されないようにレーダーを静かにしておくことを考慮せよ"
fa26-opDesertCobra_mission2_b3,Text from a mission briefing.,"SUMMARY:
Objective: 
- Destroy the 8 supply depots at each base (4 each).

Threats:
- Numerous radar and IR SAM sites
- Hostile combat air patrol","摘要
目的：
-敵基地にある８つの補給基地を全て破壊しろ（各４個ずつ）。

脅威：
-レーダーと赤外線の防空ミサイルを多数搭載
-敵の航空パトロール"
fa26-opDesertCobra_mission3_b0,Text from a mission briefing.,"You've been transferred to the airbase near Gloom Lake.  

This lake lies on another border between our nation and the enemy's, and is where they conduct tests on naval vessels and aircraft.","グルーム湖付近の航空基地に赴任してきた

この湖は、我が国と敵国との間にある境界線上にあり、ここでは艦艇や航空機のテストが行われている"
fa26-opDesertCobra_mission3_b1,Text from a mission briefing.,"There have been an unusually high number of enemy drones harassing us recently.  They fly dangerously close to our base and force us to take defensive measures.  

We believe that they're attempting to distract us while they test new military technologies.","最近異常に多い敵無人機の嫌がらせ。 基地に迫ってきており、防衛策を取らざるを得ない状況になっている

新しい軍事技術をテストするために、私たちの注意をそらそうとしているのではないかと考えられる"
fa26-opDesertCobra_mission3_b2,Text from a mission briefing.,"In order to put a damper on their research efforts, we're sending out a group of F/A-26Bs configured to sink their test ships.

Although this is a testing area, the enemy ships are fully functional and armed.","相手の研究を妨害するために、F/A-26Bのチームを派遣して試験艦を沈めよ

ここはテストエリアではあるが、敵艦は完全に機能しており、武装も整っている"
fa26-opDesertCobra_mission3_b3,Text from a mission briefing.,"You and your wingmen are tasked to destroy enemy air defenses and patrol aircraft, to allow the strikers to perform the anti-shipping attack.

The strikers will be in the air waiting for you.  Join them and escort them along their attack path.","僚機と共に敵の防空システムと哨戒機を破壊して、攻撃部隊が対艦攻撃を行うための任務を与えられている

攻撃機部隊が空で待っている。 彼らと合流して攻撃中の護衛をせよ"
fa26-opDesertCobra_mission3_b4,Text from a mission briefing.,"When you reach the end of the attack path, the strikers will begin anti-shipping. Target radars to prevent them from defending against the attack.

Simultaneously, allied combat air patrol will be vectored to the area to help keep enemy aircraft away.","攻撃ルートの終点に到達すると、攻撃隊による対艦攻撃が開始される。 相手のレーダーを破壊して、相手が攻撃を防御できないようにせよ

それと同時に、敵機の侵入を防ぐために、味方航空パトロールがエリア内に移動する"
fa26-opDesertCobra_mission3_b5,Text from a mission briefing.,"SUMMARY:
Objective: Support strikers while they attack enemy ships.
- Suppress enemy air defenses
- Defend strikers from enemy air patrols

Primary Targets:
- Radars
- Aggressive Aircraft

Threats:
- Ships
- Aircraft
- SAMs
- AAA","摘要
目的：敵艦を攻撃するための攻撃機の中隊を支援せよ
-敵の防空を抑えろ
-敵の航空パトロールから攻撃機を守れ

主な目的：
-レーダー
-敵機

脅威：
-敵船舶
-敵航空機
敵の対空ミサイル
敵の対空砲"
fa26-opDesertCobra_mission4_b0,Text from a mission briefing.,"A couple of bombers are returning from a long range mission.  Their fuel reserves are low, so we're sending out a KC-49 tanker to provide air-to-air refuelling.

We are concerned that enemy aircraft will intercept the tanker, which is where you and your wingmen come in.","2機の爆撃機が長距離任務から帰還している。 彼らは燃料が不足しているので、空中給油のためにKC-49給油機を送った

敵が給油機を迎撃することが懸念されるため、僚機と共に護衛の任務についてくれ"
fa26-opDesertCobra_mission4_b1,Text from a mission briefing.,"Fly with the tanker and keep it safe. Maintain active radar and RWR so you are aware of hostiles. 

AWACs will also be available to help spot incoming threats.","給油機に同行し、安全を確保せよ。 敵対行為に備えてレーダーと警報を入れておくこと。

また、差し迫った脅威を察知するために、早期警戒機を派遣する"
fa26-opDesertCobra_mission4_b2,Text from a mission briefing.,"SUMMARY
Objective: 
- Escort the tanker to the rendezvous.  
- Engage all hostile aircraft that approach.
- Mission complete when the tanker and bombers return to base.

Threats:
- Hostile aircraft","摘要
目的：
-給油機をランデブーポイントまで送れ
-接近してくる敵機を全て攻撃しろ
-給油機と爆撃機を基地に戻せば任務完了

脅威：
-敵機"
fa26-opDesertCobra_mission5_b0,Text from a mission briefing.,"It's time to send a naval strike group deep into enemy territory.  The aircraft carrier and its escorts will soon be ready to depart, but enemy forces are close.  

They will likely attempt to stop the carrier group before our mission can even begin.","ついに海戦隊を敵地の奥深くに送り込む時が来た。 空母とその護衛艦が出発しようとしているが、敵は間近に迫っている。

敵は我々の空母の任務を先取りしたいのかもしれない。"
fa26-opDesertCobra_mission5_b1,Text from a mission briefing.,"Your job is to protect the ships, onboard aircraft, and the naval base from the enemy attack.  Hostile aircraft and land vehicles are approaching.  

Once the coast is clear, you will land on the carrier and join on the offensive.","任務は敵の攻撃から艦隊、航空機、海軍基地を守ることである。 敵機と敵地上車両が接近している。

海岸をクリアしたら、空母に上陸して攻撃部隊に参加します。"
fa26-opDesertCobra_mission5_b2,Text from a mission briefing.,"SUMMARY

Objective:
- Defend naval strike group and naval base

Threats:
- Fighter Aircraft
- Bombers
- Tanks
- Mobile Anti-Air","摘要

目的：
-艦隊と海軍基地を守れ

脅威：
-敵戦闘機
-敵爆撃機
-敵戦車部隊
敵移動式高射砲車両"
fa26-opDesertCobra_mission6_b0,Text from a mission briefing.,"The carrier group's first stop is a small northern island territory occupied by the enemy.

They have a few military bases here and use the island to stage their attacks on our western coast.","空母艦隊の最初の寄港地は敵の占領下にある北の島だった

彼らはここに多くの軍事基地を持っていて 西海岸への攻撃に島を利用している"
fa26-opDesertCobra_mission6_b1,Text from a mission briefing.,"The island is a valuable asset to the enemy's air and naval forces, so it's our duty to halt their operations here.

We will launch a full on air assault.","この島は敵の空軍と海軍にとって 非常に価値のあるものであり ここでの活動を止めるのが我々の任務だ

本格的な空爆を開始する"
fa26-opDesertCobra_mission6_b2,Text from a mission briefing.,"There are 4 major components to the attack, which will be split up among 4 specialized air groups.

Whiskey group will suppress enemy air defenses. X-ray group will attack ground targets such as armored vehicles and supply depots.  Bravo will sink the enemy ships.","この攻撃には主に4つの要素があり、それぞれが4つの航空隊によって行われる

Whiskey隊は敵の防空を制圧し、X-ray隊は装甲車や補給庫などの地上目標を攻撃し、Bravo隊は敵艦船を撃沈する"
fa26-opDesertCobra_mission6_b3,Text from a mission briefing.,"Kilo group, your group, will fly combat air patrol and keep the enemy fighters away from the other groups.

The enemy only has a few groups of fighters in the air, but they have a carrier full of aircraft ready to go, and an airbase not far from our point of entry.","Kilo部隊はあなたの責任で、他チームへの敵戦闘機の接近を阻止するための航空パトロールをせよ

敵の戦闘機は現在数機しかないが、空母ベースの航空機は離陸の準備ができており、また、ここからそう遠くないところに敵航空基地がある"
fa26-opDesertCobra_mission6_b4,Text from a mission briefing.,"All groups will maintain open communications, but you will only have command over your own group.  Focus on your own objective (CAP) but maintain awareness of the bigger picture.",全ての分隊は通信をオープンにしておくが、命令は自分の分隊にしか出せない。 全体の状況を意識しながら、目的（エアパトロール）に集中せよ。
fa26-opDesertCobra_mission6_b5,Text from a mission briefing.,"SUMMARY

Objective:
- Combat air patrol

Targets:
- Multiple hostile aircraft

Threats:
- Hostile Aircraft
- SAMs
- Ships","摘要

目的：
-エアパトロール

目的：。
-複数の敵対機

脅威：
-敵機
対空ミサイル
-敵艦艇"
fa26-opDesertCobra_mission7_b0,Text from a mission briefing.,"We have located the enemy's main source of oil off the shore of some remote islands.  

The carrier group has been sent to destroy the oil platforms and further reduce the enemy's ability to fuel war.","離島の沖合で敵の主な石油源を発見した

空母艦隊は敵の石油施設を破壊するために派遣されており、敵の戦力をさらに低下させている"
fa26-opDesertCobra_mission7_b1,Text from a mission briefing.,"There seems to be an unusually high naval military presence here, so the guided missile cruisers will be assisting your attack.

Air groups X-ray and Sierra will be primarily focused on SEAD, while Bravo will provide CAP.","ここには異常に多くの敵海軍部隊が駐留しているようなので、ミサイル巡洋艦が攻撃をサポートしてくる

X-ray・Sierra分隊は主に敵の防空を制圧し、Bravo分隊は航空パトロールを行え"
fa26-opDesertCobra_mission7_b2,Text from a mission briefing.,"Your group, Kilo, will be responsible for striking the oil platforms.

We need the platforms to be destroyed beyond all repair, so you can either destroy all key components on the platform, or destroy two support pillars to topple the entire platform.","あなたのKilo部隊は敵油田施設を攻撃せよ

修理不可能なまでに施設を破壊する必要がある。全ての主要装備を破壊するか、柱の2本を破壊して施設全体を倒壊させよ"
fa26-opDesertCobra_mission7_b3,Text from a mission briefing.,"Our cruisers will approach from the north, on the western side of the ridge. 

The air groups will approach on the eastern side of the ridge at low altitude. You should remain undetected until you reach the channel.","味方巡洋艦は北から尾根の西側に接近する

航空チームは低空から東側の尾根に入れ。 海峡に入るまでは発見されないようにせよ。"
fa26-opDesertCobra_mission7_b4,Text from a mission briefing.,"The SEAD attack from the east should occur at the same time that the cruiser anti-ship missiles reach the enemy.

This will keep their defenses saturated while Kilo comes in to take down the oil platforms.","敵の防空に対する東からの制圧攻撃は、巡洋艦の対艦ミサイルと同時に開始されるはずだ。

これは防衛力を飽和させるので、Kilo部隊は、それが続く間に敵油田施設を落とせ。"
fa26-opDesertCobra_mission7_b5,Text from a mission briefing.,"There may be other ground targets for you, but we will keep you updated on those as we acquire more information.",他にも攻撃が必要な地上目標があるかもしれない、情報が入り次第知らせる。
fa26-opDesertCobra_mission7_b6,Text from a mission briefing.,"SUMMARY

Objective:
- Destroy 4 oil platforms

Threats
- Ships
- SAMs
- Aircraft","摘要

目的：
-敵油田施設4基の破壊

脅威：
-敵艦艇
対空ミサイル
-敵航空機"
fa26-opDesertCobra_mission8_b0,Text from a mission briefing.,"This mission will have two phases.
On the first phase, Kilo 1-1 will lead the flight into enemy territory.

You will be Kilo 1-2, and are assigned to support the flight lead.  Execute her commands to destroy secondary targets on the way to the enemy base.","任務は2つのフェーズに分けて行う。
第一段階では、Kilo1-1は隊列を率いて敵空域に向かう隊長機となる。

あなたはKilo1-2で、隊長のサポートを担当せよ。 艦長の命令を遂行して敵基地に向かう途中で二次目標を破壊せよ。"
fa26-opDesertCobra_mission8_b1,Text from a mission briefing.,"The mission is scheduled to start when one of the enemy's coastal defense sites goes down temporarily.

We expect the defenses to resume operation when they spot your approach, but at least it will give you an opportunity to disable them before they can acquire you.","計画通り、敵の海岸防衛の1つが一時的に沈黙した。

接近を検知すると動作を再開すると思われるが、これで先手を打ち、無効にすることができる。"
fa26-opDesertCobra_mission8_b2,Text from a mission briefing.,"The flight path will be low, weaving through the valleys to avoid line of sight with enemy radar.

Maintain formation with Kilo 1 for the entirety of the ingress phase.","飛行経路は低く、敵のレーダー照準を避けるために谷間を蛇行しながら飛行せよ。

任務を通してKilo1でフォーメーションを崩さないようにせよ。"
fa26-opDesertCobra_mission8_b3,Text from a mission briefing.,"The secondary targets are coastal defenses at Alpha and two IR SAM units at Bravo. Destroying them will help clear the way for the bomber. 

Again, flight leader Kilo 1-1 will call the shots on these targets.","第二の目標は、Arpha地点の沿岸防衛とBrabo地点の2つの赤外線防空ミサイルユニットです。 それらを破壊し、味方爆撃機の侵入を助けよ

再び、Kilo1-1大尉がこれらの目標に攻撃を指示する"
fa26-opDesertCobra_mission8_b4,Text from a mission briefing.,"The primary objective will begin when you reach the base at Charlie.

Allied rocket artillery will be in the area launching strikes on the base's air defenses.","Charlie地点の拠点に到着すると、メインミッションが開始される

味方のロケット砲が敵基地の防空システムに対する攻撃を開始するために地域にいる"
fa26-opDesertCobra_mission8_b5,Text from a mission briefing.,"The primary targets are rows of cylindrical tents lined up from east to west.

Your flight path will allow you to strike multiple targets in a single low-altitude bombing pass.","メインターゲットは東西に並んだ半円筒状のテントである

飛行経路は、単一の低空飛行の捕捉砲撃で複数のターゲットをヒットさせることができる"
fa26-opDesertCobra_mission8_b6,Text from a mission briefing.,"After the first pass, flight lead duties will be passed over to you (Kilo 1-2).  Lead your wingmen to take down the remaining targets.",1回目の掃討の後、隊長機としての任務があなたに渡される(Kilo1-2)。 あなたのチームを率いて残りのターゲットを破壊せよ
fa26-opDesertCobra_mission8_b7,Text from a mission briefing.,"A group of F-45A's will take off from a nearby FARP to help keep enemy aircraft and other threats off of you and your wingmen.

Once primary targets have been destroyed, an AV-42C will also dispatch from here to deliver troops to the headquarters and capture the enemy leaders.","F-45Aの分隊が近くの前方基地から離陸し、敵機や他の脅威があなたと乗組員に接近するのを阻止してくれるはずだ

第一目標が破壊されると、ここからAV-42Cも出発して突撃隊を敵本部に落とし、敵リーダーを捕獲する"
fa26-opDesertCobra_mission8_b8,Text from a mission briefing.,"You will be tasked to protect them at that time, but we'll update you on that final operation when we get to it.

Focus on supporting your wingmen during the flight through hostile territory and destroying the primary targets.","その後、あなたが責任を持って彼らを守ることになるので、最終的な戦いが始まったときには、あなたに知らせる。

敵の領空を越えて重要なターゲットを破壊するために、チームメイトをサポートすることに集中せよ"
fa26-opDesertCobra_mission8_b9,Text from a mission briefing.,"SUMMARY

OBJECTIVES
-  Clear air defenses for bombers
- *Destroy enemy assets
-  Protect troop transport

THREATS
- IR and Radar SAMs
- Aircraft","摘要

目的：
-爆撃機の防空をクリアーにする
-* 敵の重要な物資を破壊する
-突撃隊を乗せた輸送機を守る

脅威：
-敵赤外線・レーダー防空ミサイル
-敵航空機"
campaign_f45-quickFlight_name,Name of a campaign.,Quick Flight,クイックフライト
campaign_f45-quickFlight_description,Description of a campaign.,A small collection of quick missions for the F-45A.,いくつかのF-45Aのクイックミッション
f45-quickFlight:45_2StageAttack_name,Name of a mission.,Counter-Bomber,対爆撃機
f45-quickFlight:45_2StageAttack_description,Description of a mission.,Take the lead on this two-part mission to take down hostile bombers.,"敵の爆撃機を撃墜するために
この2部構成のミッションを開始する"
F-45A:f45-quickFlight:45_2StageAttack:obj_0:name,A mission objective name,SEAD,
F-45A:f45-quickFlight:45_2StageAttack:obj_0:info,Mission objective info.,Destroy the long range MAD-4 Radar (M4) near the airbase.,航空基地近くの長距離MOD-4レーダー（M4）を破壊してください。
F-45A:f45-quickFlight:45_2StageAttack:obj_1:name,A mission objective name,Destroy Fighters,戦闘機隊を撃墜
F-45A:f45-quickFlight:45_2StageAttack:obj_1:info,Mission objective info.,Destroy the fighters taking off from the base with the help of India group.,敵基地から離陸する戦闘機を「India」部隊の助けを借りて破壊してください。
F-45A:f45-quickFlight:45_2StageAttack:obj_2:name,A mission objective name,Rearm,再武装
F-45A:f45-quickFlight:45_2StageAttack:obj_2:info,Mission objective info.,Rearm at FARP,FARPで再武装してください。
F-45A:f45-quickFlight:45_2StageAttack:obj_3:name,A mission objective name,Destroy Bombers,爆撃機隊を撃破
F-45A:f45-quickFlight:45_2StageAttack:obj_3:info,Mission objective info.,Destroy bombers taking off from second airbase.,敵の第二航空基地から離陸する敵爆撃機を破壊してください。
F-45A:f45-quickFlight:45_2StageAttack:obj_4:name,A mission objective name,RTB,
F-45A:f45-quickFlight:45_2StageAttack:obj_4:info,Mission objective info.,Return to the fleet.,艦隊に戻ってください。
f45-quickFlight:45_BayAssault_name,Name of a mission.,Bay Assault,湾岸攻撃
f45-quickFlight:45_BayAssault_description,Description of a mission.,Attack high value targets in an attack on enemy territory.,敵地の高額目標への攻撃
F-45A:f45-quickFlight:45_BayAssault:obj_0:name,A mission objective name,Destroy C2,C2を破壊
F-45A:f45-quickFlight:45_BayAssault:obj_0:info,Mission objective info.,Locate and destroy the command & control bunkers,敵の指揮統制の拠点を探して破壊してください。
F-45A:f45-quickFlight:45_BayAssault:obj_1:name,A mission objective name,Destroy Artillery,砲兵を排除
F-45A:f45-quickFlight:45_BayAssault:obj_1:info,Mission objective info.,Destroy the artillery attacking our ships.,我々の艦隊を攻撃する敵砲兵を排除してください。
F-45A:f45-quickFlight:45_BayAssault:obj_2:name,A mission objective name,Destroy Aircraft,敵航空機を撃破
F-45A:f45-quickFlight:45_BayAssault:obj_2:info,Mission objective info.,Find and destroy the highly capable enemy stealth fighters.,能力の高い敵のステルス戦闘機を見つけて撃墜してください。
F-45A:f45-quickFlight:45_BayAssault:obj_3:name,A mission objective name,Destroy Bombers,敵爆撃機を撃墜
F-45A:f45-quickFlight:45_BayAssault:obj_3:info,Mission objective info.,Find and destroy the enemy bomber aircraft.,敵の爆撃機を見つけて撃墜してください。
F-45A:f45-quickFlight:45_BayAssault:obj_4:name,A mission objective name,RTB,
F-45A:f45-quickFlight:45_BayAssault:obj_4:info,Mission objective info.,Return to the assault carrier.,攻撃空母艦隊に戻ってください。
F-45A:f45-quickFlight:45_BayAssault:obj_5:name,A mission objective name,Protect Carriers,空母艦隊を守れ
F-45A:f45-quickFlight:45_BayAssault:obj_5:info,Mission objective info.,Do not let the enemy destroy either of our carriers!,敵にどちらの空母も破壊されないようにしてください！
f45-quickFlight:45_carrierPractice_name,Name of a mission.,Carrier Landing Practice,空母への着艦訓練
f45-quickFlight:45_carrierPractice_description,Description of a mission.,Practice arrested or vertical landings on a moving carrier.,"移動中の空母に通常着艦
または垂直着艦の訓練をせよ"
f45-quickFlight:f45-freeFlight_name,Name of a mission.,Free Flight,フリーフライト
f45-quickFlight:f45-freeFlight_description,Description of a mission.,No enemies or objectives.,敵もターゲットもいない
f45-quickFlight:f45_quickMission1_name,Name of a mission.,Stealth Strike,ステルス攻撃
f45-quickFlight:f45_quickMission1_description,Description of a mission.,"Search for and destroy enemy weapon caches. Avoid detection or pay the price. Once they know where you are, they'll do anything to stop you.","敵の武器を検索して破壊する
見つからないようにするか、
代償を払うか
あなたがどこにいるかを知ったら、
敵は止めるために何でもするでしょう"
F-45A:f45-quickFlight:f45_quickMission1:obj_0:name,A mission objective name,Destroy Targets,ターゲットを破壊
F-45A:f45-quickFlight:f45_quickMission1:obj_0:info,Mission objective info.,Find and destroy enemy weapon caches. Locations unknown.,敵の武器の備蓄を見つけて破壊してください。場所は不明です。
F-45A:f45-quickFlight:f45_quickMission1:obj_1:name,A mission objective name,RTB,
F-45A:f45-quickFlight:f45_quickMission1:obj_1:info,Mission objective info.,Return to and land on the helipad.,戻ってヘリパッドに垂直着陸してください。
f45-quickFlight_45_2StageAttack_b0,Text from a mission briefing.,"You will be the first to launch from the carrier.

Destroy the long range air defenses at the enemy coastal airbase Alpha first so that we can launch fighters.","空母から真っ先に離陸することになる

我が戦闘機の離陸のために、まず敵の沿岸航空基地Alphaの長距離防空システムを破壊せよ"
f45-quickFlight_45_2StageAttack_b1,Text from a mission briefing.,"Once the air defenses are destroyed, CAP group India will launch from the carrier to help you clean up the enemy fighters.",防空が破壊されると、空母からエアパトロールIndia隊が離陸して敵戦闘機のクリアを支援してくれる
f45-quickFlight_45_2StageAttack_b2,Text from a mission briefing.,"After clearing the fighters, land at the FARP to reconfigure for a purely air-to-air role. You will be joined by another F-45 to take down the enemy bombers taking off from airbase Bravo.

SEAD group Romeo will launch from the carrier to disable the SAM sites at Bravo.","戦闘機をクリアしたら、前方基地に着陸して装備を対空用に変更せよ。Bravo地点の航空基地から離陸する敵爆撃機を撃墜するために、別のF-45Aと合流せよ

防空鎮圧RomeoチームはBravo地点の対空ミサイル施設を無力化するために空母から出発する"
f45-quickFlight_45_2StageAttack_b3,Text from a mission briefing.,Destroy the two bombers from Bravo then return to carrier to complete the mission!,Bravo地点から離陸した爆撃機2機を撃破し、空母に戻ってミッションを完了せよ！
f45-quickFlight_45_BayAssault_b0,Text from a mission briefing.,"Complete all of the objectives, then return to the assault carrier.

You can complete them in any order you choose.

There's a mix of hardened surface targets and air targets.","すべての目的を完了し、水陸両用突撃船に戻れ

好きな順番で完成させて良い

任務には、地上目標と航空目標が含まれている"
f45-quickFlight_45_BayAssault_b1,Text from a mission briefing.,"Enemy rocket artillery have moved into range and have begun firing on our fleet from the other side of a mountain.

They have a low hit probability, but we must destroy them.","敵のロケット弾が射撃位置に移動し、山の反対側から我が艦隊に向けて射撃を開始した

まだ被弾は少ない、今のうちに潰せ"
f45-quickFlight_45_BayAssault_b2,Text from a mission briefing.,"Enemy bombers have also been known to operate from this area. If they decide to deploy them against our assault fleet, they will be a high priority target.",敵の爆撃機も作戦を開始している。もし彼らが我々の突撃艦隊を攻撃すると判断した場合、それは優先順位の高い目標とみなされる
f45-quickFlight_45_BayAssault_b3,Text from a mission briefing.,"We have little intel on their whereabouts, but a handful of enemy stealth fighters are stationed by the bay and must be destroyed.",彼らの居場所はほとんどわからなかったが、湾の近くに敵のステルス戦闘機が何機か駐留していて、それを破壊しなければならなかった
f45-quickFlight_45_BayAssault_b4,Text from a mission briefing.,"Finally, you must find the enemy command post and destroy the two bunkers. The bunkers will likely be adjacent to large supply tents.",最後に敵の本部を見つけて2つのバンカーを破壊しなければならない。バンカーは大型補給テントに隣接している場合がある
f45-quickFlight_45_BayAssault_b5,Text from a mission briefing.,"Enemy bases are well defended, so use caution when operating near them.",敵の基地はしっかりと防御されているので、近くで戦うときは特に注意せよ
f45-quickFlight_45_BayAssault_b6,Text from a mission briefing.,The mission will be considered a failure if either of our carriers are destroyed.,輸送船や水陸両用攻撃船が破壊されれば、作戦は失敗する
f45-quickFlight_45_carrierPractice_b0,Text from a mission briefing.,"No objectives or enemies.

You will start at 300kts, 1000ft above two carriers.  Contact one of them to request clearance to land.","ターゲットも敵もいない

空母や水陸両用の突撃船の上に300ノット、高度1,000フィートでスタートする。 そのうちの一つに連絡して、着陸の許可を求める"
f45-quickFlight_f45-freeFlight_b0,Text from a mission briefing.,No objectives or enemies.,ターゲットも敵もいない
